PROTID	X20161205_SAMPLE_1_ADJNSAF	X20161205_SAMPLE_11_ADJNSAF	X20161205_SAMPLE_11A_ADJNSAF	X20161205_SAMPLE_12_ADJNSAF	X20161205_SAMPLE_12A_ADJNSAF	X20161205_SAMPLE_16_ADJNSAF	X20161205_SAMPLE_16A_ADJNSAF	X20161205_SAMPLE_19_ADJNSAF	X20161205_SAMPLE_19A_ADJNSAF	X20161205_SAMPLE_1A_ADJNSAF	X20161205_SAMPLE_20_ADJNSAF	X20161205_SAMPLE_20A_ADJNSAF	X20161205_SAMPLE_24_ADJNSAF	X20161205_SAMPLE_24A_ADJNSAF	X20161205_SAMPLE_27_ADJNSAF	X20161205_SAMPLE_27A_ADJNSAF	X20161205_SAMPLE_28_ADJNSAF	X20161205_SAMPLE_28A_ADJNSAF	X20161205_SAMPLE_3_ADJNSAF	X20161205_SAMPLE_32_ADJNSAF	X20161205_SAMPLE_32A_ADJNSAF	X20161205_SAMPLE_35_ADJNSAF	X20161205_SAMPLE_35A_ADJNSAF	X20161205_SAMPLE_36_ADJNSAF	X20161205_SAMPLE_36A_ADJNSAF	X20161205_SAMPLE_3A_ADJNSAF	X20161205_SAMPLE_4_ADJNSAF	X20161205_SAMPLE_40_ADJNSAF	X20161205_SAMPLE_40A_ADJNSAF	X20161205_SAMPLE_43_ADJNSAF	X20161205_SAMPLE_43A_ADJNSAF	X20161205_SAMPLE_44_ADJNSAF	X20161205_SAMPLE_44A_ADJNSAF	X20161205_SAMPLE_48_ADJNSAF	X20161205_SAMPLE_48A_ADJNSAF	X20161205_SAMPLE_4A_ADJNSAF	X20161205_SAMPLE_51_ADJNSAF	X20161205_SAMPLE_51A_ADJNSAF	X20161205_SAMPLE_52_ADJNSAF	X20161205_SAMPLE_52A_ADJNSAF	X20161205_SAMPLE_56_ADJNSAF	X20161205_SAMPLE_56A_ADJNSAF	X20161205_SAMPLE_8_ADJNSAF	X20161205_SAMPLE_8A_ADJNSAF
CHOYP_GSTO1.1.2|m.14745	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	0	1	6	0	0	0	0
CHOYP_GSTO1.2.2|m.26202	6	7	7	8	7	4	9	4	4	7	7	5	3	4	6	6	6	7	8	5	7	1	2	5	6	7	6	6	3	4	7	6	7	5	8	5	8	5	9	8	6	5	6	5
CHOYP_GSTO2.1.1|m.36486	8	8	7	8	8	8	5	8	5	8	7	8	3	5	7	8	6	7	7	8	8	4	5	9	10	7	8	9	9	4	7	8	7	7	7	9	9	7	7	6	9	12	9	8
CHOYP_AMY.2.3|m.15473	0	0	0	0	1	2	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0
CHOYP_GSTP1.1.2|m.29677	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	2	1	0	0	0	1	1	1	1	0
CHOYP_GSTP1.2.2|m.30099	11	16	16	14	15	11	17	19	15	16	15	16	14	14	13	11	10	13	14	1	14	9	1	2	13	15	13	16	3	8	9	16	16	16	23	15	15	16	13	17	17	20	13	16
CHOYP_GSTZ1.1.1|m.56540	5	4	5	6	6	11	6	5	6	3	4	4	7	7	3	3	9	6	2	3	6	1	1	3	4	3	8	8	4	2	1	5	4	9	7	4	3	5	10	10	9	6	5	5
CHOYP_GTPB1.1.1|m.66453	0	1	3	3	2	2	2	2	2	5	2	5	3	1	1	2	2	4	4	1	2	0	0	2	1	1	3	1	2	0	2	2	1	1	1	3	1	2	1	2	1	0	0	4
CHOYP_GTR1.1.1|m.25509	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	2	1	0	0	0
CHOYP_GUAA.1.1|m.18809	4	7	8	7	3	6	6	7	6	4	6	2	3	2	4	5	7	5	5	6	6	0	0	5	5	7	7	3	6	0	0	5	4	6	3	6	5	6	3	5	6	3	8	7
CHOYP_GUAD.1.1|m.33511	7	4	3	2	5	3	1	6	4	9	4	7	4	7	3	4	1	5	3	6	3	2	1	5	5	3	7	8	5	2	1	5	4	3	6	8	3	3	4	3	5	6	4	4
CHOYP_GUN.2.2|m.46462	1	2	3	2	3	3	3	6	6	1	5	4	5	4	4	5	4	4	2	5	6	1	1	5	7	1	1	4	6	2	2	7	7	9	7	1	6	4	4	6	8	7	2	4
CHOYP_GZF1.1.2|m.7747	13	11	14	13	14	12	11	10	14	11	14	20	11	12	10	15	14	16	12	12	9	10	8	15	15	14	15	19	13	15	10	15	16	12	18	10	15	20	12	17	14	15	12	15
CHOYP_H2AV.1.7|m.12182	9	7	5	3	3	1	5	6	6	10	8	5	4	6	4	3	7	6	7	7	7	1	1	5	7	9	11	1	4	2	2	2	4	6	5	7	3	1	1	2	3	6	9	10
CHOYP_AN13B.1.1|m.15287	0	0	0	2	2	1	1	0	0	0	1	0	0	0	0	0	2	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0
CHOYP_H3.1.2|m.3829	12	24	19	15	7	6	3	7	9	6	8	5	2	3	3	1	19	2	15	4	3	4	0	3	4	9	14	2	5	1	2	1	2	13	7	6	3	3	1	1	4	8	14	10
CHOYP_HACL1.1.1|m.6578	0	4	2	1	2	0	2	3	7	0	2	5	2	3	1	3	3	2	1	2	1	0	2	0	2	1	1	1	1	0	1	0	3	5	3	1	5	7	3	3	2	5	1	1
CHOYP_HBS1L.1.2|m.14311	2	1	0	0	1	1	2	1	0	1	0	3	0	1	0	1	1	1	1	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1
